ACCOUNT,PARENT,ALIAS:_DEFAULT,'STORE',AGGREGATION_(EPBCS)
OCX_Tangible Expenses,OCX_Tangible Asset Planning,null,Store,null
OPF_Custom Material Assumptions,OPF_Material Assumptions,null,Store,null
OPF_Custom Other Expense Assumptions,OPF_Other Expense Assumptions,null,Store,null
Brand,OPF_Custom Direct Input Assumptions,<none>,Store,+
ServicesandApps,OPF_Custom Direct Input Assumptions,Services/Applications,Store,+
OPF_Capitalization,OPF_Capital Project Assumptions,null,Store,null
OPF_Onsite Labor Hours,OPF_Contract Labor Hours,null,Store,null
OPF_Onsite Labor Hours,OPF_Overhead Drivers,null,Store,null
OPF_Onsite Labor Hours,OPF_Workforce Project Integration Accounts,null,Store,null
OPF_Onsite Labor Hours,OPF_Billable Hours,null,Store,null
OPF_Override Rates on Forms,OPF_Expense Details,null,Store,null
OCX_Asset Value at Start of Lease,OCX_Required Leased Asset Cost Assumptions,null,Store,null
OCX_Lease Asset Expense Drivers,OCX_Leased Asset Planning,null,Store,null
OCX_Leased Asset Optional Assumptions,OCX_Leased Asset Planning,null,Store,null
OCX_Loaded Asset Cost per UOM,OCX_Asset Cost per UOM,null,Store,null
OPF_Project Properties,OPF_Project Assumptions,null,Store,null
OPF_Probability Of Win,OPF_Additional Properties,null,Store,null
Cost,Weighted Score,<none>,Store,+
Scenario 4,PA Scenarios,High Benefit,Store,+
Scenario 5,PA Scenarios,Low Cost,Store,+
OPF_Basic Line Item Field,OPF_Project Assumptions,null,Store,null
OPF_Equipment Standard Rate Assumptions,OPF_Standard Rates,null,Store,null
OPF_Working Hours per Day,OPF_Basic Expense Assumptions,null,Store,null
OPF_Working Days per Month,OPF_Basic Expense Assumptions,null,Store,null
OPF_Equipment Expense - Billable,OPF_Financial Integration Accounts,null,Store,null
OPF_Equipment Expense - Billable,OPF_Capital Project Integration,null,Store,null
OPF_Equipment Expense - Billable,OPF_Project Expense Drivers,null,Store,null
OPF_Equipment Expense - Billable,OPF_Total Equipment Expense,null,Store,null
OPF_Equipment Expense - Billable,OPF_Total Billable Expenses,null,Store,null
OPF_Total Material Expense,OPF_Expense Total,null,Store,null
OPF_Total Material Expense,OPF_Expense KPIs,null,Store,null
OPF_Total Material Expense,OPF_Direct Expenses,null,Store,null
OPF_Total Material Expense,OPF_Cost Plus Drivers,null,Store,null
OPF_Manufacturing Overhead,OPF_Financial Integration Accounts,null,Store,null
OPF_Manufacturing Overhead,OPF_Total Overheads,null,Store,null
OPF_General and Administrative Pool Residual,OPF_Total General and Administrative Expenses,null,Store,null
OPF_General and Administrative Pool Residual,OPF_Financial Integration Accounts,null,Store,null
OPF_Contract Labor Hours - Store,OPF_Overhead Drivers,null,Store,null
OPF_Time and Material Assumptions,OPF_Required Revenue Assumptions,null,Store,null
OPF_Billing Rate/Unit,OPF_Revenue Entered Drivers,null,Store,null
OPF_Billing Rate/Unit,OPF_Time and Material Assumptions,null,Store,null
OPF_Capital Project Analysis,OPF_Expense Reporting,null,Store,null
OPF_ROI,OPF_Performance Metrics,null,Store,null
OPF_ROI,OPF_KPIs,null,Store,null
OPF_ROI,OPF_KPIs on Forms,null,Store,null
OPF_Project Cash Flow,OPF_Impact on Financial Statements,null,Store,null
OPF_Project Cash Flow,OPF_Revenue KPIs,null,Store,null
OPF_Services,OPF_Total Revenue,null,Store,null
OPF_Services Revenue,OPF_Total Benefits,null,Store,null
OPF_Customer Satisfaction Index,OPF_Total Non Financial Benefits,null,Store,null
OPF_Other Non Financial Benefit,OPF_Total Non Financial Benefits,null,Store,null
OPF_Impacted Account,OPF_Project Benefit Assumptions,null,Store,null
OPF_Qualitative Project Benefits,OPF_Project Benefit Assumptions,null,Store,null
OPF_Uses of Cash,OPF_Project Cash Flow,null,Store,null
OPF_Materials Purchases,OPF_Uses of Cash,null,Store,null
OPF_Other Payments,OPF_Uses of Cash,null,Store,null
OPF_Capital Purchases,OPF_Uses of Cash,null,Store,null
OPF_PV of Cash Flow,OPF_Cash Flow KPIs,null,Store,null
OPF_PM-EAC,OPF_EVM,null,Store,null
A_24620,A_24000,24620-IBNR Claims incurred but not reported,Store,+
A_24630,A_24000,24630-Unearned premium,Store,+
A_26000,A_20000,26000-Long Term Liabilities,Store,+
A_26213,A_26200,26213-Lease Liability Office Equipment,Store,+
OPF_T&M Labor Planning,OPF_Labor Planning Detail,null,Store,null
OPF_Contract Labor Hours,OPF_T&M Labor Planning,null,Store,null
OPF_Non Billable Hours,OPF_Contract Labor Hours,null,Store,null
OPF_Non Billable Hours,OPF_Total Labor Hours,null,Store,null
OPF_Non Billable Hours,OPF_Workforce Project Integration Accounts,null,Store,null
OPF_Expense Calculated,OPF_Expense Details,null,Store,null
OCX_Purchase Price at End of Lease,OCX_Required Leased Asset Cost Assumptions,null,Store,null
OCX_Custom Leased Asset Cost Assumptions,OCX_Leased Asset Cost Assumptions,null,Store,null
OCX_Lease Asset Expenses,OCX_Leased Asset Planning,null,Store,null
OCX_Calc Asset Cost per UOM,OCX_Asset Cost per UOM,null,Store,null
OPF_Project Type,OPF_Required Properties,null,Store,null
OPF_Project Type,OPF_Revenue Project Properties,null,Store,null
OPF_Project Type,OPF_Project Detail Information,null,Store,null
OPF_Cash Flow Start Date,OPF_Required Properties,null,Store,null
OPF_Project Description,OPF_Project Required Properties,null,Store,null
OPF_Project Description,OPF_Required Properties,null,Store,null
OPF_Project Description,OPF_Project Detail Information,null,Store,null
OPF_Properties on Forms,OPF_Project Properties,null,Store,null
Weighted Score,OPF_Project Custom Properties,<none>,Store,+
OPF_Basic Expense Assumptions,OPF_Project Expense Planning,null,Store,null
OPF_Spread End Date,OPF_Basic Expense Assumptions,null,Store,null
OPF_Line Item End Date,OPF_Basic Expense Assumptions,null,Store,null
OPF_Equipment Usage,OPF_Basic Expense Assumptions,null,Store,null
OPF_Unit of Measure,OPF_Expense Assumptions,null,Store,null
OPF_Total Other Expenses,OPF_Direct Expenses,null,Store,null
OPF_Total Other Expenses,OPF_Total Other Direct Costs,null,Store,null
OPF_Total Other Expenses,OPF_Cost Plus Drivers,null,Store,null
OPF_Total Other Expenses,OPF_Uses of Cash,null,Store,null
OPF_Other Expenses - Billable,OPF_Project Expense Drivers,null,Store,null
OPF_Other Expenses - Billable,OPF_Total Billable Expenses,null,Store,null
OPF_Other Expenses - Billable,OPF_Financial Integration Accounts,null,Store,null
OPF_Other Expenses - Billable,OPF_Total Other Expenses,null,Store,null
OPF_Materials Overhead,OPF_Total Overheads,null,Store,null
OPF_Materials Overhead,OPF_Financial Integration Accounts,null,Store,null
OPF_Off Site Labor Billing Rate,OPF_Revenue Entered Drivers,null,Store,null
OPF_Off Site Labor Billing Rate,OPF_Time and Material Assumptions,null,Store,null
OPF_Revenue Amount,OPF_Revenue Entered Drivers,null,Store,null
OPF_Revenue Amount,OPF_Direct Input Revenue Assumptions,null,Store,null
OPF_Obligation Details,OPF_Revenue Recognition Assumptions,null,Store,null
OPF_Indirect Expenses - Store,OPF_Project Expense Drivers,null,Store,null
OPF_Total Other Direct Costs,OPF_Expense Total,null,Store,null
OPF_Contract Project Analysis,OPF_Expense Reporting,null,Store,null
OPF_Contract Project Expense,OPF_Contract Project Analysis,null,Store,null
OPF_Revenue KPIs,OPF_KPIs,null,Store,null
OPF_Expense KPIs,OPF_KPIs,null,Store,null
OPF_Cash Flow KPIs,OPF_KPIs,null,Store,null
OPF_Sales Revenue,OPF_Total Revenue,null,Store,null
OPF_Sales Revenue,OPF_Financial Integration Accounts,null,Store,null
OPF_Product Revenue,OPF_Total Benefits,null,Store,null
OPF_Total Non Financial Benefits,OPF_Project Benefit Assumptions,null,Store,null
OPF_Payback Period,OPF_Performance Metrics,null,Store,null
OPF_Payback Period,OPF_Cash Flow KPIs,null,Store,null
OPF_Payback Period,OPF_KPIs on Forms,null,Store,null
OPF_BCWS,OPF_EVM,null,Store,null
OPF_BCWP,OPF_EVM,null,Store,null
OPF_VAC,OPF_EVM,null,Store,null
A_25300,A_25000,25300-VAT Payable,Store,+
A_26211,A_26200,26211-Lease Liability Computer Hardware,Store,+
A_26212,A_26200,26212-Lease Liability Vehicle Standard,Store,+
A_95001,A_T,95001-Net Income Current Year,Store,+
A_41180,A_40000,41180-Revenue Warranties,Store,+
A_49900,A_40000,49900-Revenue - Clearing & Misc.,Store,+
OPF_Revenue Recognition - Common,OPF_Project Measures,null,Store,null
OPF_UnRecognized Revenue,OPF_Revenue Recognition - Common,null,Store,null
FX Rates - Ending,Exchange Rates,<none>,Store,~
A_All_Corp_Acct_V1,Account,Corporate Account,Store,+
Consolidated ETR,Financial Drivers,<none>,Store,+
A_11300,A_11000,11300-Short Term Investment,Store,+
A_11502,A_11000,11502-Clearing USBNK Treasury Account,Store,+
A_12101,A_12000,12101-Accounts Receivable,Store,+
A_12160,A_12000,12160-Remittance,Store,+
A_12310,A_12000,12310-Unbilled Receivables,Store,+
A_12360,A_12000,12360-Contract Asset,Store,+
A_13200,A_13000,13200-Sales Tax Receivable,Store,+
A_13602,A_13000,13602-LOAN PROJ Project Loan Receivables,Store,+
A_14100,A_14000,14100-Inventory Material Value,Store,+
A_14710,A_14000,14710-WIP Material Value,Store,+
A_15220,A_15200,15220-Right of Use Building,Store,+
A_15270,A_15200,15270-Right of Use Office Equipment,Store,+
A_15930,A_15300,15930-CIP Clearing,Store,+
A_16130,A_16000,16130-Accum. Depr. Machinery and Equipment,Store,+
Liabilities and Owner's Equity,Balance Sheet,<none>,Store,+
A_23100,A_23000,23100-Federal Income Taxes Withheld,Store,+
A_60114,A_60100,60114-Overtime,Store,+
A_60210,A_60200,60210-Commissions,Store,+
A_60220,A_60200,60220-Bonus,Store,+
A_60230,A_60200,60230-Cars,Store,+
A_60513,A_60500,60513-Car Rental,Store,+
A_60515,A_60500,60515-Gasoline,Store,+
A_60520,A_60500,60520-Supplies,Store,+
A_60540,A_60500,60540-Miscellaneous,Store,+
A_63543,A_63100,63543-Furniture Maintenance and Repairs,Store,+
A_63550,A_63100,63550-Office Equipment Rental,Store,+
Allocation Percentage,Workforce Custom Accounts,<none>,Store,~
Jan1,WFP Periods,Jan-22,Store,+
May1,WFP Periods,May-22,Store,+
Aug2,WFP Periods,Aug-23,Store,+
Dec2,WFP Periods,Dec-23,Store,+
Jul3,WFP Periods,Jul-24,Store,+
Workforce Accts - Custom,Account,<none>,Store,+
Mileage Rate,Workforce Accts - Custom,<none>,Store,+
OWP_End Date,OWP_Workforce Planning Accounts for VC,null,Store,null
OWP_End Date,OWP_Employee Properties,null,Store,null
OWP_Workforce Planning Accounts for Forms,OWP_Workforce Planning Accounts for VC,null,Store,null
OFS_Change in Inventory,OFS_Changes in Operating Assets and Liabilities,null,Store,null
OFS_Change in Inventory,OFS_Indirect Method Accounts,null,Store,null
OFS_Proceeds from Sales of Marketable Securities and Other Investments,OFS_Common Method Accounts,null,Store,null
OFS_Proceeds from Sales of Marketable Securities and Other Investments,OFS_Net Cash From Investing Activities,null,Store,null
OFS_Issuance or Repurchase of Preferred Stock,OFS_Common Method Accounts,null,Store,null
OFS_Issuance or Repurchase of Preferred Stock,OFS_Net Cash from Financing Activities,null,Store,null
OFS_Adjustments to Net Income,OFS_Cash Flow from Operating Activities,null,Store,null
OFS_Net Cash From Investing Activities,OFS_Net Cash Flow,null,Store,null
OFS_Discount Factor,OFS_Cash Flow KPIs,null,Store,null
OFS_Unspecified Integration Account,OFS_Cross Module Integration,null,Store,null
OFS_Integration Reporting,OFS_Cross Module Integration,null,Store,null
OWP_Total Salary,OWP_Total Compensation,null,Store,null
OWP_Earning1,OWP_Total Earnings,null,Store,null
OWP_Earning2,OWP_Total Earnings,null,Store,null
OWP_Earning6,OWP_Total Earnings,null,Store,null
OWP_Total Benefits,OWP_Total Compensation,null,Store,null
OWP_Benefit8,OWP_Total Benefits,null,Store,null
OWP_Benefit9,OWP_Total Benefits,null,Store,null
OWP_Tax7,OWP_Total Taxes,null,Store,null
Recruitment Expense,OWP_Non Compensation Expenses,<none>,Store,+
OWP_CYTD Total Salary,OWP_YTD Accounts,null,Store,null
OWP_CYTD Total Salary (Prior),OWP_YTD Accounts,null,Store,null
OWP_Offsite Labor Hours,OWP_Total Labor Hours,null,Store,null
OWP_Allocated Project Expense,OWP_Workforce Project Integration Accounts,null,Store,null
OWP_Labor Expense,OWP_Allocated Project Expense,null,Store,null
